content_hash_id,client_hash_id,model_score,confidence,suggested_action,reason_codes,impressions_feature_window,avg_position_feature_window,ctr_feature_window,days_with_any_row,is_declining
content_b82a28e7fafd5e28,client_73cda7b4e4f265ea,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_ddab86629f0bf2f7,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_bb27c54487f0fb26,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_62118abdf03143ab,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_7078119a0aaa505a,client_73cda7b4e4f265ea,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_e0ad59d25f472468,client_2094c6eb080311d5,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_618979900f985af9,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_c444cf55bab77ee7,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_92fd2c51fba91904,client_73cda7b4e4f265ea,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_abe8c62c8a35baf2,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_72c1cc88a984a102,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_bde3ff30757d7bee,client_73cda7b4e4f265ea,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_f863b523db484f57,client_73cda7b4e4f265ea,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_f3551d17c4f40095,client_73cda7b4e4f265ea,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,0
content_f448b5af2e0ed0e1,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
content_9ddbb5e3dbd78304,client_f623b01661d4bfe4,0.6986135818830245,low,monitor,['model_decline_risk'],1.0,0.0,0.0,59,1
